# x sin(systeme) approximation
0 0 0
0.00125639 0.00125639 0.00125639
0.00251277 0.00251277 0.00251277
0.00376916 0.00376915 0.00376915
0.00502554 0.00502552 0.00502552
0.00628193 0.00628189 0.00628189
0.00753831 0.00753824 0.00753824
0.0087947 0.00879459 0.00879459
0.0100511 0.0100509 0.0100509
0.0113075 0.0113072 0.0113072
0.0125639 0.0125635 0.0125635
0.0138202 0.0138198 0.0138198
0.0150766 0.0150761 0.0150761
0.016333 0.0163323 0.0163323
0.0175894 0.0175885 0.0175885
0.0188458 0.0188447 0.0188447
0.0201022 0.0201008 0.0201008
0.0213586 0.0213569 0.0213569
0.0226149 0.022613 0.022613
0.0238713 0.0238691 0.0238691
0.0251277 0.0251251 0.0251251
0.0263841 0.026381 0.026381
0.0276405 0.027637 0.027637
0.0288969 0.0288929 0.0288929
0.0301533 0.0301487 0.0301487
0.0314096 0.0314045 0.0314045
0.032666 0.0326602 0.0326602
0.0339224 0.0339159 0.0339159
0.0351788 0.0351715 0.0351715
0.0364352 0.0364271 0.0364271
0.0376916 0.0376826 0.0376826
0.038948 0.0389381 0.0389381
0.0402043 0.0401935 0.0401935
0.0414607 0.0414489 0.0414489
0.0427171 0.0427041 0.0427041
0.0439735 0.0439593 0.0439593
0.0452299 0.0452145 0.0452145
0.0464863 0.0464695 0.0464695
0.0477427 0.0477245 0.0477245
0.048999 0.0489794 0.0489794
0.0502554 0.0502343 0.0502343
0.0515118 0.051489 0.051489
0.0527682 0.0527437 0.0527437
0.0540246 0.0539983 0.0539983
0.055281 0.0552528 0.0552528
0.0565374 0.0565072 0.0565072
0.0577937 0.0577616 0.0577616
0.0590501 0.0590158 0.0590158
0.0603065 0.06027 0.06027
0.0615629 0.061524 0.061524
0.0628193 0.062778 0.062778
0.0640757 0.0640318 0.0640318
0.0653321 0.0652856 0.0652856
0.0665884 0.0665392 0.0665392
0.0678448 0.0677928 0.0677928
0.0691012 0.0690462 0.0690462
0.0703576 0.0702996 0.0702996
0.071614 0.0715528 0.0715528
0.0728704 0.0728059 0.0728059
0.0741268 0.0740589 0.0740589
0.0753831 0.0753118 0.0753118
0.0766395 0.0765645 0.0765645
0.0778959 0.0778172 0.0778172
0.0791523 0.0790697 0.0790697
0.0804087 0.0803221 0.0803221
0.0816651 0.0815743 0.0815743
0.0829215 0.0828265 0.0828265
0.0841778 0.0840785 0.0840785
0.0854342 0.0853303 0.0853303
0.0866906 0.0865821 0.0865821
0.087947 0.0878337 0.0878337
0.0892034 0.0890851 0.0890851
0.0904598 0.0903365 0.0903365
0.0917162 0.0915876 0.0915876
0.0929725 0.0928387 0.0928387
0.0942289 0.0940896 0.0940896
0.0954853 0.0953403 0.0953403
0.0967417 0.0965909 0.0965909
0.0979981 0.0978413 0.0978413
0.0992545 0.0990916 0.0990916
0.100511 0.100342 0.100342
0.101767 0.101592 0.101592
0.103024 0.102841 0.102841
0.10428 0.104091 0.104091
0.105536 0.105341 0.105341
0.106793 0.10659 0.10659
0.108049 0.107839 0.107839
0.109306 0.109088 0.109088
0.110562 0.110337 0.110337
0.111818 0.111585 0.111585
0.113075 0.112834 0.112834
0.114331 0.114082 0.114082
0.115587 0.11533 0.11533
0.116844 0.116578 0.116578
0.1181 0.117826 0.117826
0.119357 0.119073 0.119073
0.120613 0.120321 0.120321
0.121869 0.121568 0.121568
0.123126 0.122815 0.122815
0.124382 0.124062 0.124062
0.125639 0.125308 0.125308
0.126895 0.126555 0.126555
0.128151 0.127801 0.127801
0.129408 0.129047 0.129047
0.130664 0.130293 0.130293
0.131921 0.131538 0.131538
0.133177 0.132784 0.132784
0.134433 0.134029 0.134029
0.13569 0.135274 0.135274
0.136946 0.136518 0.136518
0.138202 0.137763 0.137763
0.139459 0.139007 0.139007
0.140715 0.140251 0.140251
0.141972 0.141495 0.141495
0.143228 0.142739 0.142739
0.144484 0.143982 0.143982
0.145741 0.145225 0.145225
0.146997 0.146468 0.146468
0.148254 0.147711 0.147711
0.14951 0.148954 0.148954
0.150766 0.150196 0.150196
0.152023 0.151438 0.151438
0.153279 0.15268 0.15268
0.154535 0.153921 0.153921
0.155792 0.155162 0.155162
0.157048 0.156403 0.156403
0.158305 0.157644 0.157644
0.159561 0.158885 0.158885
0.160817 0.160125 0.160125
0.162074 0.161365 0.161365
0.16333 0.162605 0.162605
0.164587 0.163844 0.163844
0.165843 0.165084 0.165084
0.167099 0.166323 0.166323
0.168356 0.167562 0.167562
0.169612 0.1688 0.1688
0.170868 0.170038 0.170038
0.172125 0.171276 0.171276
0.173381 0.172514 0.172514
0.174638 0.173751 0.173751
0.175894 0.174988 0.174988
0.17715 0.176225 0.176225
0.178407 0.177462 0.177462
0.179663 0.178698 0.178698
0.18092 0.179934 0.179934
0.182176 0.18117 0.18117
0.183432 0.182405 0.182405
0.184689 0.183641 0.183641
0.185945 0.184875 0.184875
0.187201 0.18611 0.18611
0.188458 0.187344 0.187344
0.189714 0.188578 0.188578
0.190971 0.189812 0.189812
0.192227 0.191045 0.191045
0.193483 0.192278 0.192278
0.19474 0.193511 0.193511
0.195996 0.194744 0.194744
0.197253 0.195976 0.195976
0.198509 0.197208 0.197208
0.199765 0.198439 0.198439
0.201022 0.199671 0.199671
0.202278 0.200902 0.200902
0.203534 0.202132 0.202132
0.204791 0.203362 0.203362
0.206047 0.204592 0.204592
0.207304 0.205822 0.205822
0.20856 0.207051 0.207051
0.209816 0.20828 0.20828
0.211073 0.209509 0.209509
0.212329 0.210737 0.210737
0.213586 0.211965 0.211965
0.214842 0.213193 0.213193
0.216098 0.21442 0.21442
0.217355 0.215647 0.215647
0.218611 0.216874 0.216874
0.219868 0.2181 0.2181
0.221124 0.219326 0.219326
0.22238 0.220552 0.220552
0.223637 0.221777 0.221777
0.224893 0.223002 0.223002
0.226149 0.224227 0.224227
0.227406 0.225451 0.225451
0.228662 0.226675 0.226675
0.229919 0.227898 0.227898
0.231175 0.229121 0.229121
0.232431 0.230344 0.230344
0.233688 0.231567 0.231567
0.234944 0.232789 0.232789
0.236201 0.23401 0.23401
0.237457 0.235232 0.235232
0.238713 0.236453 0.236453
0.23997 0.237673 0.237673
0.241226 0.238893 0.238893
0.242482 0.240113 0.240113
0.243739 0.241333 0.241333
0.244995 0.242552 0.242552
0.246252 0.24377 0.24377
0.247508 0.244989 0.244989
0.248764 0.246207 0.246207
0.250021 0.247424 0.247424
0.251277 0.248641 0.248641
0.252534 0.249858 0.249858
0.25379 0.251074 0.251074
0.255046 0.25229 0.25229
0.256303 0.253506 0.253506
0.257559 0.254721 0.254721
0.258815 0.255936 0.255936
0.260072 0.25715 0.25715
0.261328 0.258364 0.258364
0.262585 0.259577 0.259577
0.263841 0.260791 0.260791
0.265097 0.262003 0.262003
0.266354 0.263216 0.263216
0.26761 0.264427 0.264427
0.268867 0.265639 0.265639
0.270123 0.26685 0.26685
0.271379 0.268061 0.268061
0.272636 0.269271 0.269271
0.273892 0.270481 0.270481
